item,soundfile,condition,s,sh
1,Ashley_seat_35.wav,test,seat,sheet  
2,Ashley_shelf_35.wav,test,self,shelf  
3,Ashley_same_35.wav,test,same,shame  
4,Ashley_shell_35.wav,test,sell,shell  
5,Ashley_sign_35.wav,test,sign,shine  
6,Ashley_shy_35.wav,test,sigh,shy  
7,Ashley_shake_35.wav,test,sake,shake  
8,Ashley_self_45.wav,test,self,shelf  
9,Ashley_shame_45.wav,test,same,shame  
10,Ashley_sell_45.wav,test,sell,shell  
11,Ashley_sigh_45.wav,test,sigh,shy  
12,Ashley_shock_45.wav,test,sock,shock  
13,Ashley_sake_45.wav,test,sake,shake  
14,Ashley_sheet_45.wav,test,seat,sheet  
15,Ashley_same_55.wav,test,same,shame  
16,Ashley_shell_55.wav,test,sell,shell  
17,Ashley_sign_55.wav,test,sign,shine  
18,Ashley_shy_55.wav,test,sigh,shy  
19,Ashley_shake_55.wav,test,sake,shake  
20,Ashley_seat_55.wav,test,seat,sheet  
21,Ashley_shelf_55.wav,test,self,shelf  
22,Ashley_sell_65.wav,test,sell,shell  
23,Ashley_shine_65.wav,test,sign,shine  
24,Ashley_sigh_65.wav,test,sigh,shy  
25,Ashley_sake_65.wav,test,sake,shake  
26,Ashley_sheet_65.wav,test,seat,sheet  
27,Ashley_self_65.wav,test,self,shelf  
28,Ashley_shame_65.wav,test,same,shame  
29,Ashley_sign_75.wav,test,sign,shine  
30,Ashley_shy_75.wav,test,sigh,shy  
31,Ashley_shake_75.wav,test,sake,shake  
32,Ashley_seat_75.wav,test,seat,sheet  
33,Ashley_shelf_75.wav,test,self,shelf  
34,Ashley_same_75.wav,test,same,shame  
35,Ashley_shell_75.wav,test,sell,shell  
36,Ashley_dragonfly_1.0.wav,filler,dragonfly,dragon-fruit  
37,Ashley_nothing_1.0.wav,filler,nothing,nutting  
38,Ashley_tag_1.0.wav,filler,tag,tap  
39,Ashley_village_1.0.wav,filler,village,voltage  
40,Ashley_Tim_1.0.wav,filler,Tim,dim  
41,Ashley_down_1.0.wav,filler,down,town  
42,Ashley_tip_1.0.wav,filler,tip,dip  
43,Ashley_tear_1.0.wav,filler,tear,cheer  
44,Ashley_marina_1.0.wav,filler,marina,Maria  
45,Ashley_buffalo_1.0.wav,filler,buffalo,buffer  
46,Ashley_dim_1.0.wav,filler,dim,dip  
47,Ashley_dime_1.0.wav,filler,dime,time  
48,Ashley_lonely_1.0.wav,filler,lonely,longing  
49,Ashley_journal_1.0.wav,filler,journal,journey  
50,Ashley_jewelry_1.0.wav,filler,jewelry,jealousy  
51,Ashley_january_1.0.wav,filler,january,february
